frase,situacao
"sinto dor no peito e falta de ar",alto risco
"tive um leve incômodo nas costas ontem",baixo risco
"palpitações fortes e sensação de desmaio repentino",alto risco
"acordei com uma leve tontura que durou cinco minutos",baixo risco
"dormência no braço esquerdo espalhando para o pescoço de manhã",alto risco
"estou sentindo dor de cabeça leve após trabalhar o dia todo",baixo risco
"suor frio constante acompanhado de queimação no peito esquerdo",alto risco
"minha perna dói após jogar duas horas de futebol",baixo risco
"dificuldade aguda de respirar mesmo deitado na minha cama agora",alto risco
"sinto um leve cansaço apenas quando acordo de manhã cedo na segunda",baixo risco
"uma pressão insuportável no peito que irradia totalmente pro maxilar",alto risco
"bate meu dedinho na quina da cama e estou com dor",baixo risco
"coração extremamente acelerado com falta de ar abrupta",alto risco
"dor passageira na região lombar após levantar peso",baixo risco
"aperto sufocante no coração do nada",alto risco
"ombro raspado depois de cair da escada",baixo risco
"braço direito e peito formigando",alto risco
"dor de barriga e gases",baixo risco
"pontadas muito agudas na região torácica",alto risco
"unha inflamada sangrando",baixo risco
"sinto que vou apagar e suando frio na testa",alto risco
"calo no pé doendo após maratona",baixo risco
"meu peito queima feito brasa e sobe pelo pescoço",baixo risco
"dor de garganta e tosse leve",baixo risco
"batidas falhando ritmo irregular",alto risco
"câimbra fortíssima na panturrilha direita",baixo risco
"falta de ar sem fazer esforço algum",alto risco
"olho coçando muito de alergia",baixo risco
"desconforto cardíaco absurdo",alto risco
"corte pequeno no dedo indicador e tá doendo",baixo risco
"coração parece que vai sair pela boca as batidas estão anormais e doi",alto risco
"arranhão leve no cotovelo esquerdo",baixo risco
"perda aguda de oxigênio deitado",alto risco
"pescoço doendo posição de dormir",baixo risco
"pressão alta disparada cabeça latejando",alto risco
"torci o punho digitando muito teclado",baixo risco
